icode,brand,name,discount,old_price,price,qty,scraped_at
8333154,3M,S301三道式淨水器特惠組,63折,14440,9111,30,2026-08-06 10:59:53
13224566,m2美度,超能膠原飲100包組,42折,17250,7280,500,2026-08-06 10:59:53
10343393,元大珠寶黃金一錢金塊金條 十三選一(獨家與白沙屯媽祖授權聯名),元大珠寶黃金一錢金塊金條 十三選一(獨家與白沙屯媽祖授權聯名),95折,18988,18188,132,2026-08-06 10:59:53
12914214,NIKE 耐吉,精選男女運動服飾 健身 背心 短袖 短褲 (多款任選),51折,880,450,593,2026-08-06 10:59:53
11742667,白蘭氏,官方直營 深海魚油+蝦紅素 3瓶,75折,4260,3195,100,2026-08-06 10:59:53
13598254,日本味王,山苦瓜胜月太EX膠囊60粒x6盒,91折,3380,3099,200,2026-08-06 10:59:53
14432357,Apple,iPhone 17(256G/6.3吋),96折,29900,28900,40,2026-08-06 10:59:53
13911940,50惠,海藻染髮護髮霜2入(3色任選),72折,1380,999,299,2026-08-06 10:59:53
14991526,dyson,HJ10噴射氣流空氣清淨機(銀白色),73折,14900,10900,92,2026-08-06 10:59:53
13608305,IMPACT 怡寶,聯名輕量成長型護脊書包-momo限定,63折,2990,1899,200,2026-08-06 10:59:53
14897108,NIKE 耐吉,DOWNSHIFTER 14 男女運動鞋 跑鞋 (多款任選),47折,2500,1188,300,2026-08-06 10:59:53
15510578,Samsung 三星,Galaxy Z Fold8 5G 7.6吋,9折,65900,59900,10,2026-08-06 10:59:53
15252400,BRAUN 百靈,新5系列PRO免拆快洗電鬍刀★內含鬢角刀,49折,6888,3388,20,2026-08-06 10:59:53
15230014,石頭科技,F25 RT GEN 2小白鯊零纏繞洗地機,93折,7499,6999,50,2026-08-06 10:59:53
14257177,奇美,195L一級變頻冰箱,71折,12490,8988,50,2026-08-06 10:59:53
11254687,台灣三洋,2-4坪一級變頻冷暖空調,7折,21090,14900,20,2026-08-06 10:59:53
15003965,m2美度,超能膠原蔓越莓C 四盒組(10入/盒 孫藝珍代言),27折,3960,1080,250,2026-08-06 10:59:53
12621698,日本Arnest,深型不沾炒鍋30cm,14折,6980,988,310,2026-08-06 10:59:53
11460386,BASSO 巴碩,義大利初榨特級橄欖油1000ml x 3入_(可生飲/酸價0.15-0.25),39折,2790,1099,280,2026-08-06 10:59:53
7389662,大研生醫,視易適葉黃素3入組(30粒/入)-添加蝦紅素.智利酒果.山桑子,41折,5940,2488,150,2026-08-06 10:59:53
14587016,WEIDER 威德益生菌x2盒(3gx90包/盒)(美式賣場/益生菌順暢/酵素),WEIDER 威德益生菌x2盒(3gx90包/盒)(美式賣場/益生菌順暢/酵素),81折,2200,1799,500,2026-08-06 10:59:53
15106958,未來美,PDRN面膜50片組,25折,6550,1650,200,2026-08-06 10:59:53
15541951,HP,ST215純列印有wifi★大印量首選可印照片(搭2組四色墨水),57折,7944,4590,7,2026-08-06 10:59:53
15462382,Apple,2025 iPad 11 A16/11吋/WiFi/128G,92折,15590,14388,30,2026-08-06 10:59:53
7467734,幸美生技,加拿大冷凍野生藍莓2kg(農殘/重金屬檢驗通過),5折,1780,899,500,2026-08-06 10:59:53
15039734,王品集團,西堤牛排經典套餐,94折,768,729,450,2026-08-06 10:59:53
8404976,TOTO,溫控淋浴恆溫龍頭+蓮蓬頭套組,37折,12999,4888,100,2026-08-06 10:59:53
14222214,Travel Blue 藍旅,頭等艙等級★豪華頸枕收納組 (飛機枕/U型枕/記憶棉頸枕/車用靠枕/追劇/出國/旅遊),46折,2399,1112,500,2026-08-06 10:59:53
8990597,倍潔雅,好韌真3層100抽x72包,53折,1500,799,500,2026-08-06 10:59:53
15227524,昌兒學畫練字機,昌兒學畫練字機,5折,1980,990,300,2026-08-06 10:59:53
13408118,小牛津,鉑金103件組-點讀大全套+歡迎來到節慶屋 點讀繪本(含64G奶茶牛點讀筆),47折,10260,4879,20,2026-08-06 10:59:53
14847538,TISSOT 天梭,(送禮首選)新款PRX1970年復刻鈦金屬機械錶,71折,28700,20599,2,2026-08-06 10:59:53
15155031,NIKE,PEGASUS 42 小飛馬跑鞋,57折,3800,2199,500,2026-08-06 10:59:53
15494219,soundcore,Liberty 5 Pro AI降噪真無線藍牙耳機,96折,5990,5790,50,2026-08-06 10:59:53
13598055,橘子工坊,天然洗衣球162顆,36折,2613,949,500,2026-08-06 10:59:53
13558264,UCC,即溶咖啡90gx12罐,73折,1899,1388,220,2026-08-06 10:59:53
13428077,巴黎萊雅PRO,小藍瓶精粹90ml買1送1,46折,4520,2080,104,2026-08-06 10:59:53
8039299,3M,防蹣可調式記憶枕頭-工學型/側仰型任選,44折,5990,2690,88,2026-08-06 10:59:53
10894689,聖萊西,銀貓罐170g*24入,44折,1800,799,232,2026-08-06 10:59:53
8042846,杏輝,美白淡斑精華6入,0.5折,18000,911,350,2026-08-06 10:59:53
9688786,Kotex 靠得住,晚安好眠褲/日用懶人褲 M-XL(多款選),39折,1599,639,892,2026-08-06 10:59:53
