icode,brand,name,discount,old_price,price,qty,scraped_at
8426761,ON 歐恩,金牌乳清蛋白5磅(多口味可選),81折,3999,3249,142,2026-08-22 23:00:01
13317110,臻御行,量販無調味堅果任選2袋,8折,938,759,554,2026-08-22 23:00:01
11105043,GJS 金敬順,黃金9999金條 元寶 金豆 多選款(金重:1.00錢),97折,19889,19388,59,2026-08-22 23:00:01
15577683,Samsung 三星,Galaxy Z Fold8 (12G/256G),91折,59900,54900,21,2026-08-22 23:00:01
8037995,倍潔雅,花漾柔感150抽x84包,5折,1680,849,425,2026-08-22 23:00:01
15394907,必勝客,13吋大比薩(10選2),29折,1320,389,599,2026-08-22 23:00:01
15479611,Apple,2025 iPad 11 A16/11吋/WiFi/256G,92折,19090,17664,30,2026-08-22 23:00:01
13224566,m2 美度,超能膠原飲/晚安飲 任選1箱(100包),45折,17250,7780,496,2026-08-22 23:00:01
13750528,Olitalia 奧利塔,純橄欖油禮盒組6+2,73折,3960,2928,106,2026-08-22 23:00:01
15370051,BGYM 比勁,DD07 智能登山走步機-攻頂者 (父親節禮物/大坡步/走路機/全平放/站立收納/無刷馬達/爬坡機),61折,23999,14800,49,2026-08-22 23:00:01
15491298,麥當勞,8/21限搶!麥克鷄塊 (10塊)+薯條(大)+可樂(中) 好禮即享券,7折,212,149,9,2026-08-22 23:00:01
13146566,AHC,B5微導玻尿酸保濕精華液,43折,3000,1311,219,2026-08-22 23:00:01
13740630,BenQ,50型藍光追劇護眼TV,89折,14490,12900,27,2026-08-22 23:00:01
9765569,Combat 威滅,5重連鎖超值組_居家防護6入x5盒,63折,945,599,494,2026-08-22 23:00:01
12331000,樂美思,極致凍齡霜50mlx10,26折,7534,1999,67,2026-08-22 23:00:01
14359839,巴特雷,涼感風扇空調服背心含電池,83折,10000,8319,34,2026-08-22 23:00:01
15209759,石頭科技,Qrevo Edge2掃拖機器人,33折,59999,19999,46,2026-08-22 23:00:01
10950080,台酒生技,黑酵母酒粕青春露5入,28折,4500,1288,227,2026-08-22 23:00:01
15253183,URUHIMEMOMOKO 潤姬桃子,潤姬桃子30入x6盒,52折,10080,5328,42,2026-08-22 23:00:01
15518527,MSI 微星,15.6吋i7 RTX4050,82折,43799,35999,15,2026-08-22 23:00:01
12637324,特百滋,無穀貓糧15磅,52折,3600,1899,409,2026-08-22 23:00:01
12063597,LG 樂金,16公升WiFi變頻除濕機-粉紅 MD161QPK3,7折,19900,14111,19,2026-08-22 23:00:01
14013647,名池茶業,杉林溪高山烏龍茶葉150gx12包(共3斤),36折,3000,1099,293,2026-08-22 23:00:01
15018356,vivo,V70 (12G/512G/5000萬畫素),77折,23990,18490,19,2026-08-22 23:00:01
15049532,營養師輕食,野獸黑馬卡 6入組,31折,6588,2086,198,2026-08-22 23:00:01
15156079,Folli Follie,(多款任選)氣質百搭錶款,16折,9800,1658,145,2026-08-22 23:00:01
11732948,海洋拉娜,經典乳霜100ml,38折,20600,7988,51,2026-08-22 23:00:01
13720397,PUMA,慢跑運動休閒鞋 (多款選),43折,2280,999,283,2026-08-22 23:00:01
14372418,TIGER 虎牌,買1送1旋蓋雙層保溫瓶500ml,46折,2580,1188,189,2026-08-22 23:00:01
14924186,PP 石墨烯,石墨烯蠶絲修復眼罩2入(下單贈:100mo),13折,19800,2688,228,2026-08-22 23:00:01
12049739,老爺酒店集團,最新效期！聯合住宿券,83折,3990,3325,138,2026-08-22 23:00:01
